r_kpc,rho_kg_m3,M_enc_kg,G_eff_over_GN,v_kms_final
19.883236532944125,2.3782353676734544e-23,3.443740080065499e+41,0.05013162685726887,43.33662954788569
19.91659766638866,2.351934997907425e-23,3.444889180296972e+41,0.05012404820596858,43.30426894849468
19.9499587998332,2.325925478012368e-23,3.4460293830861757e+41,0.050116636249024474,43.27200641863426
19.983319933277738,2.300203591545009e-23,3.447160750998174e+41,0.05010938731995192,43.23984047160009
20.01668106672227,2.2747661576319986e-23,3.4482833462326282e+41,0.050102297832911216,43.20776965608105
20.05004220016681,2.249610030576543e-23,3.449397230625003e+41,0.05009536428093514,43.1757925553406
20.083403333611347,2.224732099469408e-23,3.450502465647773e+41,0.05008858323419174,43.14390778641455
20.116764467055887,2.200129287804203e-23,3.4515991124116464e+41,0.05008195133829027,43.11211399932844
20.15012560050042,2.1757985530969316e-23,3.452687231666793e+41,0.05007546531261996,43.08040987633035
20.183486733944957,2.1517368865097333e-23,3.4537668838040824e+41,0.050069121948728104,43.048794131141555
20.216847867389497,2.12794131247882e-23,3.4548381288563316e+41,0.050062918108732556,43.017265508223396
20.250209000834033,2.1044088883464884e-23,3.455901026499559e+41,0.050056850723770266,42.98582278206058
20.28357013427857,2.0811367039972302e-23,3.4569556360542495e+41,0.050050916792477786,42.95446475645952
20.316931267723106,2.058121881497837e-23,3.4580020164866236e+41,0.05004511337950814,42.92319026386338
20.350292401167646,2.035361574741529e-23,3.459040226409917e+41,0.05003943761407769,42.891998164681226
20.383653534612183,2.012852969095975e-23,3.4600703240856655e+41,0.05003388668854608,42.86088734663244
20.417014668056716,1.9905932810552357e-23,3.461092367424999e+41,0.050028457857028474,42.82985672410628
20.450375801501256,1.968579757895523e-23,3.4621064139899418e+41,0.05002314843403601,42.79890523753452
20.483736934945792,1.9468096773348164e-23,3.4631125209947164e+41,0.0500179557931481,42.76803185277906
20.517098068390332,1.9252803471961937e-23,3.4641107453070597e+41,0.05001287736571232,42.737235560532355
20.550459201834865,1.9039891050749142e-23,3.465101143449541e+41,0.05000791063957529,42.706515375732366
20.583820335279402,1.882933318009167e-23,3.4660837716008848e+41,0.05000305315783819,42.675870336989064
20.617181468723942,1.8621103821544776e-23,3.467058685597306e+41,0.04999830251764334,42.645299506025474
20.65054260216848,1.8415177224617026e-23,3.4680259409338422e+41,0.04999365636898321,42.61480196712932
20.683903735613015,1.821152792358584e-23,3.468985592765697e+41,0.04998911241354064,42.584376826619135
20.71726486905755,1.8010130734348326e-23,3.4699376959095887e+41,0.04998466840354961,42.55402321232029
20.75062600250209,1.781096075130696e-23,3.470882304845099e+41,0.04998032214068466,42.52374027305426
20.783987135946628,1.7613993344289604e-23,3.4718194737160323e+41,0.04997607147497292,42.49352717813873
20.81734826939116,1.7419204155503673e-23,3.4727492563317736e+41,0.04997191430373069,42.46338311689902
20.8507094028357,1.722656909652384e-23,3.4736717061686577e+41,0.04996784857052377,42.43330729819093
20.884070536280237,1.7036064345313345e-23,3.4745868763713374e+41,0.049963872264149015,42.40329894993358
20.917431669724778,1.684766634327794e-23,3.4754948197541554e+41,0.049959983417640796,42.3733573186537
20.95079280316931,1.6661351792352605e-23,3.476395588802524e+41,0.04995618010729709,42.343481669039626
20.984153936613847,1.6477097652120284e-23,3.4772892356743057e+41,0.04995246045172857,42.313671283505755
21.017515070058387,1.62948811369628e-23,3.4781758122011967e+41,0.04994882261092672,42.2839254617663
21.050876203502924,1.6114679713242965e-23,3.4790553698901148e+41,0.0499452647853554,42.254243520419905
21.08423733694746,1.593647109651805e-23,3.4799279599245913e+41,0.049941785215059056,42.22462479254222
21.117598470391997,1.5760233248783876e-23,3.4807936331661644e+41,0.04993838217879365,42.19506862728921
21.150959603836537,1.5585944375749672e-23,3.4816524401557745e+41,0.04993505399317299,42.16557438950779
21.184320737281073,1.5413582924142806e-23,3.482504431115165e+41,0.04993179901183883,42.13614145935759
21.217681870725606,1.5243127579043448e-23,3.483349655948282e+41,0.04992861562464394,42.10676923193901
21.251043004170146,1.5074557261248625e-23,3.4841881642426797e+41,0.049925502256857275,42.077457116931576
21.284404137614683,1.4907851124665568e-23,3.485020005270925e+41,0.049922457368384174,42.04820453823954
21.317765271059223,1.4742988553733753e-23,3.4858452279920074e+41,0.04991947945300456,42.01901093364596
21.351126404503756,1.4579949160875512e-23,3.486663881052743e+41,0.049916567037628444,41.98987575447493
21.384487537948292,1.441871278397474e-23,3.487476012789195e+41,0.04991371868156684,41.960798465261156
21.417848671392832,1.425925948388372e-23,3.488281671228077e+41,0.049910932975818376,41.93177854342703
21.45120980483737,1.4101569541957253e-23,3.489080904088173e+41,0.049908208542374405,41.90281547896823
21.48457093828191,1.3945623457614192e-23,3.489873758781751e+41,0.04990554403353421,41.87390877414447
21.51793207172644,1.3791401945925965e-23,3.490660282415978e+41,0.049902938131241414,41.8450579431799
21.551293205170982,1.3638885935231602e-23,3.4914405217943414e+41,0.04990038954642975,41.81626251196827
21.58465433861552,1.3488056564779428e-23,3.4922145234180605e+41,0.049897897018386914,41.7875220177864
21.61801547206006,1.333889518239453e-23,3.492982333487512e+41,0.04989545931413048,41.758836009013514
21.65137660550459,1.319138334217225e-23,3.493743997903646e+41,0.04989307522779689,41.730204044856805
21.684737738949128,1.3045502802196944e-23,3.494499562269403e+41,0.049890743580046325,41.70162569508433
21.718098872393668,1.2901235522286297e-23,3.495249071891142e+41,0.049888463217478904,41.67310053976342
21.751460005838204,1.2758563661760273e-23,3.4959925717800496e+41,0.04988623301206403,41.64462816900524
21.784821139282737,1.2617469577234922e-23,3.496730106653571e+41,0.04988405186058257,41.6162081827155
21.818182272727277,1.2477935820440473e-23,3.497461720936822e+41,0.04988191868408107,41.58784019035078
21.851543406171814,1.2339945136063683e-23,3.498187458764013e+41,0.049879832427337116,41.559523810680176
21.884904539616354,1.22034804596139e-23,3.498907363979868e+41,0.04987779205833861,41.53125867155347
21.918265673060887,1.2068524915312868e-23,3.499621480141041e+41,0.049875796567773786,41.50304440967435
21.951626806505427,1.1935061814007729e-23,3.5003298505175366e+41,0.04987384496852961,41.47488067037782
21.984987939949963,1.1803074651107241e-23,3.50103251809413e+41,0.049871936295205366,41.44676710741445
22.018349073394504,1.1672547104540708e-23,3.5017295255717785e+41,0.0498700696036349,41.41870338273896
22.051710206839036,1.154346303273957e-23,3.502420915369044e+41,0.049868243970418266,41.39068916630313
22.085071340283573,1.1415806472641172e-23,3.503106729623502e+41,0.04986645849246707,41.3627241358552
22.118432473728113,1.1289561637714843e-23,3.50378701019316e+41,0.049864712286555944,41.334807976742134
22.15179360717265,1.1164712916009578e-23,3.5044617986578704e+41,0.049863004488886316,41.306940381717766
22.185154740617183,1.1041244868223446e-23,3.505131136320738e+41,0.04986133425465935,41.27912105075515
22.218515874061723,1.0919142225794229e-23,3.505795064209535e+41,0.04985970075765736,41.25134969086296
22.25187700750626,1.0798389889011352e-23,3.506453623078106e+41,0.04985810318983624,41.22362601590708
22.2852381409508,1.0678972925148528e-23,3.507106853407779e+41,0.04985654076092401,41.1959497464351
