r_kpc,v_km_s,a_m_s2
36.5,241.44981173962142,1597.2057969616062
36.6,241.19338519731403,1589.4603569109263
36.7,240.9376083736419,1581.7692405670416
36.800000000000004,240.6824789946906,1574.131948234502
36.900000000000006,240.42799479779595,1566.5479859753113
37.0,240.17415353145068,1559.0168655283471
37.1,239.92095295521304,1551.5381042301224
37.2,239.66839083961608,1544.111224936854
37.300000000000004,239.41646496607848,1536.7357559478144
37.400000000000006,239.16517312681665,1529.4112309299512
37.5,238.91451312475746,1522.1371888437309
37.6,238.66448277345245,1514.9131738702015
37.7,238.4150798969934,1507.7387353392505
37.800000000000004,238.16630232992847,1500.613427659018
37.900000000000006,237.91814791717988,1493.5368102464665
38.0,237.67061451396222,1486.508447459064
38.1,237.42369998570223,1479.5279085275783
38.2,237.17740220795932,1472.5947674899503
38.300000000000004,236.93171906634723,1465.7086031262265
38.400000000000006,236.6866484564566,1458.868998894538
38.50000000000001,236.44218828377853,1452.075542868098
38.6,236.19833646362926,1445.3278276732076
38.7,235.95509092107545,1438.6254504282422
38.800000000000004,235.71244959086076,1431.96801268361
38.900000000000006,235.47041041733303,1425.3551203626541
39.00000000000001,235.2289713543727,1418.7863837034945
39.1,234.98813036532167,1412.2614172017752
39.2,234.74788542291344,1405.7798395543189
39.300000000000004,234.50823450920393,1399.3412736036585
39.400000000000006,234.26917561550295,1392.9453462834354
39.50000000000001,234.03070674230705,1386.591688564651
39.6,233.79282589923244,1380.2799354027477
39.7,233.55553110494927,1374.0097256855142
39.800000000000004,233.3188203871165,1367.7807021817969
39.900000000000006,233.08269178231762,1361.5925114909992
40.00000000000001,232.84714333599692,1355.444803993357
40.1,232.61217310239675,1349.3372338009824
40.2,232.3777791444956,1343.2694587096512
40.300000000000004,232.14395953394623,1337.2411401513264
40.400000000000006,231.91071235101555,1331.2519431474127
40.50000000000001,231.67803568452447,1325.301536262711
40.6,231.4459276317886,1319.3895915600772
40.7,231.2143862985596,1313.5157845557626
40.800000000000004,230.9834097989674,1307.6797941754337
40.900000000000006,230.75299625546302,1301.8813027108488
41.00000000000001,230.5231437987617,1296.1199957771844
41.1,230.2938505677873,1290.395562271006
41.2,230.0651147096165,1284.7076943288591
41.300000000000004,229.83693437942452,1279.0560872864864
41.400000000000006,229.60930774043067,1273.4404396386421
41.50000000000001,229.38223296384535,1267.8604529995134
41.6,229.15570822881642,1262.3158320637126
41.7,228.92973172237743,1256.8062845678585
41.800000000000004,228.7043016393955,1251.3315212527177
41.900000000000006,228.47941618252062,1245.891255825906
42.00000000000001,228.25507356213433,1240.4852049251272
