r_kpc,rho_bulge,rho_disk,rho_total,M_enc_Msun,G_eff,v_kms,a_kms2_per_kpc,a_m_s2
3.4525825825825827,4055662.1685130694,519978556.79664445,524034218.9651575,25373229052.921135,0.00012488282730931233,958.0037158240051,265821.6270227763,8.61469412422873e-09
3.492612612612613,3895435.821571605,512034194.222112,515929630.0436836,25667742208.242897,0.00012106774657457641,943.263120710886,254750.64474089348,8.255907944633928e-09
3.5326426426426427,3743054.62407428,504211207.6079741,507954262.2320484,25960782816.616375,0.00011737154259279492,928.7320749240449,244163.7477227202,7.912809903448372e-09
3.572672672672673,3598061.5141734043,496507742.5419192,500105804.05609256,26252330487.213108,0.00011379036995424278,914.4081160887454,234038.289923566,7.584666092184942e-09
3.6127027027027028,3460030.237738682,488921972.94381213,492382003.1815508,26542365678.971375,0.00011032051958092452,900.2888084135599,224352.79214875575,7.270780417398447e-09
3.652732732732733,3328562.994730783,481452100.6328268,484780663.6275576,26830869684.84927,0.00010695841283738597,886.3717411449328,215086.8735782168,6.9704923815481345e-09
3.692762762762763,3203288.286209529,474096354.9011942,477299643.18740374,27117824616.075867,0.00010370059598916515,872.6545272266952,206221.18798650004,6.683175016028896e-09
3.732792792792793,3083858.9431269234,466852992.09446156,469936851.0375885,27403213386.420216,0.0001005437349807773,859.1348021412141,197737.36427999893,6.40823295411335e-09
3.772822822822823,2969950.3199878396,459720295.198166,462690245.51815385,27687019696.496296,9.748461050793964e-05,845.8102229113811,189617.95100840228,6.1451006326901e-09
3.812852852852853,2861258.638179039,452696573.4308208,455557832.0689999,27969228018.120644,9.452011336123516e-05,832.6784672448977,181846.36453896487,5.8932406127058664e-09
3.8528828828828834,2757499.465296529,445780161.84312266,448537661.30841917,28249823578.73806,9.164724002063316e-05,819.7372328043398,174406.84061045785,5.652142009135597e-09
3.892912912912913,2658406.318163819,438969420.9232803,441627827.2414441,28528792345.92946,8.886308848224397e-05,806.9842365882236,167284.38900899867,5.4213190221258275e-09
3.9329429429429434,2563729.3784493087,432262736.208374,434826465.58682334,28806121012.01482,8.616485430044194e-05,794.4172144099088,160464.7511307551,5.2003095616952855e-09
3.9729729729729732,2473234.310876706,425658517.901653,428131752.2125297,29081796978.763077,8.354982683005207e-05,782.0339204625781,153934.36021701078,4.988673959040842e-09
4.0130030030030035,2386701.174992965,419155200.4956791,421541901.67067206,29355808342.219715,8.101538565468985e-05,769.8321269597975,147680.30406554922,4.785993758095506e-09
4.053033033033033,2303923.4223269387,412751242.4012288,415055165.8235557,29628143877.66194,7.855899718858781e-05,757.8096238422684,141690.29003896593,4.5918705815248e-09
4.093063063063063,2224706.971550179,406445125.5818646,408669832.55341476,29898793024.69035,7.61782114403617e-05,745.964218542406,135952.61220557668,4.405925065835888e-09
4.133093093093094,2148869.3549493193,400235355.1940897,402384224.549039,30167745872.46519,7.387065892816985e-05,734.2937357992759,130456.1204622042,4.2277958607150215e-09
4.173123123123124,2076238.9301460164,394120459.2330009,396196698.1631469,30434993145.094482,7.163404773661514e-05,722.7960175172063,125190.19150044852,4.0571386881082355e-09
4.213153153153153,2006654.1515634384,388098988.18335396,390105642.3349174,30700526187.180653,6.946616070654859e-05,711.4689226621298,120144.70148923424,3.893625456922806e-09
4.253183183183183,1939962.8966447706,382169514.67596185,384109477.5726066,30964336949.531513,6.736485274966088e-05,700.3103271903449,115310.0003565788,3.736943429555935e-09
4.293213213213214,1876021.842285067,376330633.1493409,378206654.991626,31226417975.04088,6.532804828040067e-05,689.3181240049506,110676.88756274836,3.586794436756037e-09
4.333243243243244,1814695.887348683,370580959.5165282,372395655.4038769,31486762384.743385,6.335373875835751e-05,678.4902229357632,106236.58926538141,3.442894137594628e-09
4.3732732732732735,1755857.617515062,364919130.8369875,366674988.4545026,31745363864.04777,6.143998033477276e-05,667.8245507389323,101980.73678479414,3.3049713215742518e-09
4.413303303303303,1699386.8090302276,359343804.9935298,361043191.80256003,32002216649.152134,5.958489159733427e-05,657.3190511129388,97901.34628467898,3.1727672501246197e-09
4.453333333333334,1645169.9682435615,353853660.3741678,355498830.34241134,32257315513.64419,5.77866514078437e-05,646.9716847279888,93990.79958976917,3.0460350349453216e-09
4.493363363363364,1593099.9040828494,348447395.55883384,350040495.4629167,32510655755.28934,5.6043496827750285e-05,636.7804292661941,90241.8260678839,2.924539050842768e-09
4.533393393393394,1543075.3308679427,343123729.01088136,344666804.3417493,32762233183.00876,5.435372112689897e-05,626.7432794701814,86647.48550908547,2.8080543808813404e-09
4.5734234234234235,1495000.499087563,337881398.77330184,339376399.2723894,33012044104.049263,5.2715671871179513e-05,616.8582471980895,83201.15193958284,2.696366291827613e-09
4.613453453453454,1448784.851966914,332719162.1695815,334167947.0215484,33260085311.34668,5.1127749085055724e-05,607.1233614831175,79896.49831248244,2.5892697380112686e-09
4.653483483483484,1404342.7058381606,327635795.50912994,329040138.2149681,33506354071.083584,4.958840348523476e-05,597.5366685960284,76727.48202161038,2.4865688918599452e-09
4.693513513513514,1361592.952493212,322630093.7972076,323991686.7497008,33750848110.44267,4.809613478198213e-05,588.0962321091935,73688.33118840333,2.3880766994875377e-09
4.733543543543544,1320458.7818504076,317700870.44928646,319021329.23113686,33993565605.55587,4.6649490044821806e-05,578.8001329609463,70773.53167534611,2.2936144598282818e-09
4.773573573573574,1280867.4234050356,312846957.00977355,314127824.4331786,34234505169.650013,4.524706212956706e-05,569.6464695191631,67977.8147826311,2.2030114259125525e-09
4.813603603603604,1242749.905059551,308067202.87503386,309309952.78009343,34473665841.388664,4.388748816382565e-05,560.6333576431447,65296.1455876684,2.11610442697604e-09
4.853633633633634,1206040.828044043,303360475.0206419,304566515.848686,34711047073.41034,4.2569448088293905e-05,551.7589307429682,62723.71188978856,2.03273751018189e-09
4.893663663663664,1170678.1567420552,298725657.7328035,299896335.88954556,34946648721.062515,4.1291663251324706e-05,543.0213398356351,60255.91372500065,1.9527616008170765e-09
4.933693693693694,1136603.022332204,294161652.343879,295298255.3662112,35180471031.330925,4.0052895054398465e-05,534.4187535973988,57888.35341797949,1.876034179899196e-09
4.973723723723724,1103759.5392430862,289667376.9719481,290771136.5111912,35412514631.96345,3.8851943646269494e-05,525.9493584117798,55616.82614060862,1.802418978199616e-09
5.013753753753754,1072094.6334984554,285241766.26435333,286313860.89785177,35642780520.787704,3.768764666368554e-05,517.6113584128373,53437.31094838716,1.7317856857531415e-09
5.053783783783784,1041557.8821023413,280883771.14516187,281925329.02726424,35871270055.22122,3.655887801669846e-05,509.40297552334647,51345.96226785094,1.6640096759840598e-09
5.0938138138138145,1012101.3626802217,276592358.5664854,277604459.9291656,36097984941.973045,3.546454671669354e-05,501.3224494875985,49339.101809862885,1.5989717436336746e-09
5.133843843843844,983679.5126532185,272366511.26360023,273350190.77625346,36322927226.93551,3.440359574536656e-05,493.3680378985902,47413.21088520989,1.5365578557257052e-09
5.173873873873874,956248.9972779803,268205227.51380756,269161476.51108557,36546099285.26467,3.337500096297193e-05,485.5380162194224,45564.92310041167,1.4766589148535214e-09
5.213903903903905,929768.5859360059,264107520.89897886,265037289.48491487,36767503811.64793,3.237777005425595e-05,477.83067779878934,43791.01741301647,1.4191705341175552e-09
5.253933933933935,904199.0361029645,260072420.07172897,260976619.10783193,36987143810.75713,3.141094151056651e-05,470.2443338804491,42088.41152692117,1.363992823082156e-09
5.293963963963964,879502.9844715477,256098968.5251609,256978471.50963247,37205022587.88568,3.0473583646711965e-05,462.7773136066363,40454.155609441696,1.3110301841596646e-09
5.333993993993994,855644.8447408464,252186224.3661295,253041869.21087033,37421143739.76738,2.9564793651209622e-05,455.4279640153839,38885.426312954965,1.260191118864982e-09
5.374024024024025,832590.711621486,248333260.09196907,249165850.80359057,37635511145.57565,2.8683696668632467e-05,448.194650031761,37379.52108496094,1.2113880434171973e-09
5.414054054054055,810308.2706390801,244539162.37063214,245349470.64127123,37848128958.10095,2.7829444912825715e-05,441.0757544530619,35933.85275137029,1.1645371131958581e-09
5.4540840840840845,788766.7133492079,240803031.8241864,241591798.5375356,38059001595.10442,2.7001216809821098e-05,434.0696779279877,34545.94435871227,1.1195580555882757e-09
5.494114114114114,767936.6576053468,237123982.8156209,237891919.47322625,38268133730.8457,2.619821616933417e-05,427.1748389298982,33213.424261794346,1.076374010791379e-09
5.534144144144145,747790.0725471528,233501143.2389088,234248933.31145597,38475530287.78294,2.5419671383779407e-05,420.38967372421786,31934.02144412074,1.0349113801567762e-09
5.574174174174175,728300.2080004335,229933654.31227764,230661954.52027807,38681196428.44279,2.4664834653787186e-05,413.71263633009494,30705.561059106094,9.950996816912986e-10
5.614204204204205,709441.5280022214,226420670.37463754,227130111.90263978,38885137547.45824,2.3932981239251636e-05,407.1421984764256,29525.960180800685,9.568714123473526e-10
5.654234234234234,691189.6481847161,222961358.6851205,223652548.3333052,39087359263.77217,2.3223408734982127e-05,400.6768495523691,28393.22375348222,9.201619167581012e-10
5.694264264264265,673521.2767706579,219554899.22568223,220228420.50245288,39287867413.00429,2.2535436370070666e-05,394.3150965524815,27305.440730064605,8.849092620917878e-10
5.734294294294295,656414.15895004,216200484.5067194,216856898.66566944,39486668039.979355,2.186840433012581e-05,388.05546401660735,26260.78038983467,8.510541187176841e-10
5.774324324324325,639847.0244241003,212897319.3756568,213537166.40008092,39683767391.414406,2.1221673101560446e-05,381.89649396467536,25257.48882655239,8.185396463931446e-10
5.8143543543543545,623799.5379173624,209644620.82845938,210268420.36637676,39879171908.762596,2.0594622837153332e-05,375.83674582653975,24293.885598441182,7.873113856971622e-10
5.854384384384385,608252.2524721912,206441617.82402393,207049870.07649612,40072888221.2116,1.998665274213885e-05,369.8747963670308,23368.360532059323,7.573171544508722e-10
5.894414414414415,593186.5653530208,203287551.10140622,203880737.66675922,40264923138.83418,1.939718048010751e-05,364.00923960635896,22479.370672474717,7.285069488794262e-10
5.934444444444445,578584.6763991499,200181672.99984074,200760257.67623988,40455283645.88852,1.8825641598030516e-05,358.2386867360336,21625.43737257484,7.00832849282931e-10
5.974474474474475,564429.5486758886,197123247.28151023,197687676.83018613,40643976894.26632,1.8271488969748357e-05,352.5617660304548,20805.143514726755,6.742489299965617e-10
6.014504504504505,550704.8712839077,194111548.95702338,194662253.8283073,40831010197.0861,1.773419225728986e-05,346.9771227543332,20017.130858362205,6.487111734316307e-10
6.054534534534535,537395.0241960029,191145864.1135583,191683259.1377543,41016391022.42959,1.7213237389412844e-05,341.48341906609903,19260.09750740284,6.241773880004097e-10
6.094564564564565,524485.0449991437,188225489.74563172,188749974.79063088,41200126987.218895,1.670812605678101e-05,336.0793339174534,18532.795491759465,6.006071297378425e-10
6.134594594594595,511960.59742773767,185349733.58845416,185861694.18588188,41382225851.232124,1.6218375223214695e-05,330.763562949222,17834.02845744103,5.779616274430574e-10
6.1746246246246255,499807.94158150314,182517913.9538311,183017721.89541262,41562695511.255264,1.574351665247377e-05,325.5348183836602,17162.64946009168,5.562037111727592e-10
6.214654654654655,488013.90572828817,179729359.568571,180217373.47429928,41741543995.36806,1.5283096450052327e-05,320.39182891336765,16517.5588570427,5.352977439272684e-10
6.254684684684685,476565.8595986212,176983409.41536185,177459975.27496046,41918779457.36164,1.4836674619483352e-05,315.3333395869556,15897.702293217208,5.152095563781247e-10
6.294714714714715,465451.68908478454,174279412.5760798,174744864.26516458,42094410171.28571,1.4403824632671031e-05,310.3581116916205,15302.06877646461,4.959063844939098e-10
6.334744744744746,454659.7722627686,171616728.07749116,172071387.84975395,42268444526.12296,1.3984133013785567e-05,305.46492263276383,14729.688838125428,4.773568099282013e-10
6.374774774774775,444178.95666066825,168994724.73931178,169438903.69597244,42440891020.588745,1.3577198936272631e-05,300.6525658108036,14179.632774839984,4.595307030404593e-10
6.414804804804805,433998.5377019062,166412781.02458772,166846779.56228963,42611758258.05364,1.3182633832545572e-05,295.91985049531075,13651.008967814052,4.4239916842712425e-10
6.454834834834836,424108.23825617746,163870284.8923623,164294393.13061848,42781054941.586845,1.280006101594468e-05,291.26560169661275,13142.96227594499,4.259344928463701e-10
6.494864864864866,414498.1892352012,161366633.65259406,161781131.84182927,42948789869.11819,1.2429115314561908e-05,286.68866003499136,12654.672499389859,4.101100954257267e-10
6.5348948948948955,405158.91117427195,158901233.82329053,159306392.7344648,43114971928.7168,1.206944271654402e-05,282.18788160760204,12185.35291032661,3.9490048004728275e-10
6.574924924924925,396081.2967442566,156473500.98982596,156869582.28657022,43279610093.984085,1.1720700026501458e-05,277.7621378532472,11734.248847820458,3.8028118981039586e-10
6.614954954954956,387256.59414207924,154082859.6664073,154470116.26054937,43442713419.55929,1.1382554532661952e-05,273.4103154151159,11300.636373857546,3.662287634767006e-10
6.654984984984986,378676.3913109144,151728743.15965784,152107419.55096874,43604291036.73513,1.1054683684422106e-05,269.1313160016163,10883.820987753177,3.5272069380690745e-10
6.695015015015016,370332.60094426834,149410593.43428403,149780926.0352283,43764352149.18198,1.0736774779960725e-05,264.9240562454083,10483.136396276303,3.3973538770324317e-10
6.735045045045045,362217.4462309054,147127860.9807952,147490078.42702612,43922906028.778175,1.0428524663590476e-05,260.7874675607529,10097.943336961878,3.2725212807559316e-10
6.775075075075076,354323.4473001562,144880004.68524423,145234328.1325444,44079962011.54475,1.0129639432535005e-05,256.72049599928476,9727.628452204048,3.152510373533384e-10
6.815105105105106,346643.4083295661,142666491.70095846,143013135.10928804,44235529493.68239,9.839834152829118e-06,252.72210210430873,9371.6032118386,3.03713042568623e-10
6.855135135135136,339170.40527910297,140486797.32223013,140825967.72750923,44389617927.70893,9.558832584050774e-06,248.79126076372654,9029.30288203347,2.926198419403643e-10
